-189.242379	6348	551	第1次独立实验的129次
-189.242379	6396	554	第1次独立实验的130次
-189.242379	6444	556	第1次独立实验的131次
-189.242379	6493	558	第1次独立实验的132次
-189.242379	6543	559	第1次独立实验的133次
-189.242379	6592	562	第1次独立实验的134次
-189.242379	6640	562	第1次独立实验的135次
-189.242379	6690	562	第1次独立实验的136次
-189.242379	6740	563	第1次独立实验的137次
-189.242379	6789	565	第1次独立实验的138次
-189.242379	6834	567	第1次独立实验的139次
-189.242379	6884	570	第1次独立实验的140次
-189.242379	6932	571	第1次独立实验的141次
-189.242379	6982	571	第1次独立实验的142次
-189.242379	7032	572	第1次独立实验的143次
-189.242379	7079	572	第1次独立实验的144次
-189.242379	7127	573	第1次独立实验的145次
-189.242379	7177	573	第1次独立实验的146次
-189.242379	7226	576	第1次独立实验的147次
-189.242379	7275	577	第1次独立实验的148次
-189.242379	7323	579	第1次独立实验的149次
-189.242379	7372	579	第1次独立实验的150次
-189.242379	7422	582	第1次独立实验的151次
-189.242379	7472	583	第1次独立实验的152次
-189.242379	7521	583	第1次独立实验的153次
-189.242379	7570	583	第1次独立实验的154次
-189.242379	7619	585	第1次独立实验的155次
-189.242379	7668	586	第1次独立实验的156次
-189.242379	7717	586	第1次独立实验的157次
-189.242379	7766	588	第1次独立实验的158次
-189.242379	7816	589	第1次独立实验的159次
-189.242379	7863	589	第1次独立实验的160次
-189.242379	7912	595	第1次独立实验的161次
-189.242379	7960	597	第1次独立实验的162次
-189.242379	8009	600	第1次独立实验的163次
-189.242379	8058	601	第1次独立实验的164次
-189.242379	8108	601	第1次独立实验的165次
-189.242379	8158	601	第1次独立实验的166次
-189.242379	8206	602	第1次独立实验的167次
-189.242379	8254	603	第1次独立实验的168次
-189.242379	8304	604	第1次独立实验的169次
-189.242379	8353	604	第1次独立实验的170次
-189.242379	8402	606	第1次独立实验的171次
-189.242379	8452	607	第1次独立实验的172次
-189.242379	8502	607	第1次独立实验的173次
-189.242379	8552	610	第1次独立实验的174次
-189.242379	8600	612	第1次独立实验的175次
-189.242379	8650	613	第1次独立实验的176次
-189.242379	8700	614	第1次独立实验的177次
-189.242379	8749	616	第1次独立实验的178次
-189.242379	8799	616	第1次独立实验的179次
